******************************浮点输入的LSH测试*******************************

table_num key_size  scale   精度    查询用时ms    索引用时ms    索引内存MB    
100       25        30.00   0.146   88            938           29.40         
100       25        50.00   0.205   140           982           29.29         
100       25        100.00  0.177   119           1008          29.76         
100       25        200.00  0.155   94            974           29.75         
100       25        300.00  0.187   121           1141          29.27         
100       28        10.00   0.054   27            1089          30.67         
100       28        30.00   0.151   81            1053          30.18         
100       28        50.00   0.135   81            1118          31.14         
100       28        100.00  0.178   109           1155          30.06         
100       28        200.00  0.187   131           1065          30.38         
100       28        300.00  0.174   117           1022          30.18         
100       30        10.00   0.054   28            1105          30.74         
100       30        30.00   0.145   76            1133          30.73         
100       30        50.00   0.171   96            1062          30.66         
100       30        100.00  0.173   116           1069          31.09         
100       30        200.00  0.162   107           1030          31.00         
100       30        300.00  0.153   92            1035          30.80         
100       35        10.00   0.058   32            1101          31.44         
100       35        30.00   0.141   74            1137          32.23         
100       35        50.00   0.157   92            1096          31.77         
100       35        100.00  0.179   113           1093          31.85         
100       35        200.00  0.159   109           1088          32.13         
100       35        300.00  0.179   135           1105          32.15         
100       40        10.00   0.053   38            1231          33.05         
100       40        30.00   0.132   80            1171          34.02         
100       40        50.00   0.175   110           1199          33.42         
100       40        100.00  0.158   109           1186          33.23         
100       40        200.00  0.144   85            1187          33.73         
100       40        300.00  0.139   79            1195          33.44         
100       50        10.00   0.054   36            1340          36.17         
100       50        30.00   0.134   87            1317          35.69         
100       50        50.00   0.149   89            1328          35.72         
100       50        100.00  0.132   74            1331          35.57         
100       50        200.00  0.125   68            1306          36.03         
100       50        300.00  0.125   72            1351          35.87         
100       60        10.00   0.056   28            1369          38.34         
100       60        30.00   0.108   64            1405          38.20         
100       60        50.00   0.121   99            1373          37.73         
100       60        100.00  0.112   65            1401          38.30         
100       60        200.00  0.096   51            1366          38.63         
100       60        300.00  0.132   81            1370          38.03         
150       18        10.00   0.052   45            1425          43.19         
150       18        30.00   0.154   89            1400          43.09         
150       18        50.00   0.220   142           1419          43.93         
150       18        100.00  0.251   179           1409          43.53         
150       18        200.00  0.265   210           1420          43.56         
150       18        300.00  0.264   222           1460          44.27         
150       20        10.00   0.056   27            1405          43.37         
150       20        30.00   0.159   90            1432          44.28         
150       20        50.00   0.239   165           1398          43.13         
150       20        100.00  0.295   225           1374          42.79         
150       20        200.00  0.281   226           1393          43.12         
150       20        300.00  0.275   214           1410          43.42         
150       22        10.00   0.053   29            1456          43.68         
150       22        30.00   0.152   88            1419          43.40         
150       22        50.00   0.230   154           1461          43.86         
150       22        100.00  0.264   206           1449          43.24         
150       22        200.00  0.272   208           1393          42.79         
150       22        300.00  0.242   162           1492          43.83         
150       25        10.00   0.055   28            1418          44.10         
150       25        30.00   0.162   83            1510          44.19         
150       25        50.00   0.237   145           1443          44.42         
150       25        100.00  0.293   232           1475          43.71         
150       25        200.00  0.294   289           1407          43.17         
150       25        300.00  0.237   167           1495          44.66         
150       28        10.00   0.058   26            1507          44.80         
150       28        30.00   0.159   86            1485          44.71         
150       28        50.00   0.232   171           1505          44.61         
150       28        100.00  0.284   237           1460          44.21         
150       28        200.00  0.262   203           1500          44.72         
150       28        300.00  0.238   174           1502          45.13         
150       30        10.00   0.050   26            1526          45.66         
150       30        30.00   0.153   83            1565          45.15         
150       30        50.00   0.235   150           1499          45.25         
150       30        100.00  0.251   189           1581          44.99         
150       30        200.00  0.217   142           1857          46.11         
150       30        300.00  0.224   155           1523          45.70         
150       35        10.00   0.057   34            1603          46.34         
150       35        30.00   0.147   84            1571          46.41         
150       35        50.00   0.223   146           1612          47.06         
150       35        100.00  0.233   236           1621          47.37         
150       35        200.00  0.252   204           1659          46.83         
150       35        300.00  0.281   233           1506          45.59         
150       40        10.00   0.053   27            1646          47.96         
150       40        30.00   0.148   85            1684          48.35         
150       40        50.00   0.218   143           1674          47.95         
150       40        100.00  0.275   213           1620          47.03         
150       40        200.00  0.248   195           1655          47.91         
150       40        300.00  0.260   184           1696          47.76         
150       50        10.00   0.051   27            1819          50.51         
150       50        30.00   0.156   86            1798          50.72         
150       50        50.00   0.215   153           1819          50.18         
150       50        100.00  0.243   176           1815          50.24         
150       50        200.00  0.196   119           1825          51.22         
150       50        300.00  0.211   140           1780          49.77         
150       60        10.00   0.060   28            1931          52.74         
150       60        30.00   0.151   99            1974          53.21         
150       60        50.00   0.196   123           1945          52.71         
150       60        100.00  0.197   122           1919          52.73         
150       60        200.00  0.208   140           1930          52.52         
150       60        300.00  0.175   102           1970          53.91         
200       18        10.00   0.051   25            1891          57.72         
200       18        30.00   0.159   90            1863          57.74         
200       18        50.00   0.252   162           1859          57.80         
200       18        100.00  0.331   275           1876          58.09         
200       18        200.00  0.359   378           1825          57.68         
200       18        300.00  0.345   342           1936          57.60         
200       20        10.00   0.054   26            1932          58.20         
200       20        30.00   0.153   88            1859          58.64         
200       20        50.00   0.238   172           1842          57.51         
200       20        100.00  0.350   316           1846          57.55         
200       20        200.00  0.368   412           1891          57.57         
200       20        300.00  0.362   339           1825          57.99         
200       22        10.00   0.053   28            2026          59.58         
200       22        30.00   0.154   88            1927          58.71         
200       22        50.00   0.243   164           1885          58.42         
200       22        100.00  0.334   291           1910          57.82         
200       22        200.00  0.368   376           2020          57.39         
200       22        300.00  0.354   382           1847          58.16         
200       25        10.00   0.057   27            1843          58.67         
200       25        30.00   0.153   85            1900          58.05         
200       25        50.00   0.249   184           1907          58.35         
200       25        100.00  0.365   360           1869          58.00         
200       25        200.00  0.338   337           2007          58.57         
200       25        300.00  0.338   335           1936          58.46         
200       28        10.00   0.053   27            1992          59.23         
200       28        30.00   0.150   87            2084          59.51         
200       28        50.00   0.250   193           1857          58.77         
200       28        100.00  0.357   367           2044          59.58         
200       28        200.00  0.305   255           2059          59.97         
200       28        300.00  0.303   241           2011          60.37         
200       30        10.00   0.056   27            1994          60.80         
200       30        30.00   0.157   88            2094          59.37         
200       30        50.00   0.233   166           2163          59.92         
200       30        100.00  0.333   371           2037          59.18         
200       30        200.00  0.347   358           1951          58.97         
200       30        300.00  0.307   250           2102          60.52         
200       35        10.00   0.056   27            2047          60.26         
200       35        30.00   0.156   84            2166          60.83         
200       35        50.00   0.239   174           2008          60.36         
200       35        100.00  0.282   217           2021          61.79         
200       35        200.00  0.340   304           2034          60.37         
200       35        300.00  0.303   240           2155          61.03         
200       40        10.00   0.057   36            2212          62.70         
200       40        30.00   0.154   89            2122          62.28         
200       40        50.00   0.242   167           2124          62.09         
200       40        100.00  0.303   265           2173          62.68         
200       40        200.00  0.298   232           2160          62.71         
200       40        300.00  0.309   242           2178          62.42         
200       50        10.00   0.054   28            2395          64.72         
200       50        30.00   0.160   94            2278          64.57         
200       50        50.00   0.247   171           2255          64.23         
200       50        100.00  0.290   237           2256          64.99         
200       50        200.00  0.299   251           2465          64.74         
200       50        300.00  0.286   246           2547          64.94         
200       60        10.00   0.058   30            2481          67.29         
200       60        30.00   0.150   97            2442          67.14         
200       60        50.00   0.246   163           2413          66.95         
200       60        100.00  0.275   254           2744          66.80         
200       60        200.00  0.280   207           2417          67.14         
200       60        300.00  0.291   284           2472          66.88         
300       18        10.00   0.052   26            2910          87.47         
300       18        30.00   0.149   86            2922          87.06         
300       18        50.00   0.252   161           2881          86.36         
300       18        100.00  0.425   462           2875          87.10         
300       18        200.00  0.488   744           2798          86.15         
300       18        300.00  0.492   721           2784          86.16         
300       20        10.00   0.056   26            2803          87.55         
300       20        30.00   0.157   103           2782          87.00         
300       20        50.00   0.242   188           2910          86.79         
300       20        100.00  0.427   478           3165          86.84         
300       20        200.00  0.444   595           2831          87.76         
300       20        300.00  0.448   591           2826          86.61         
300       22        10.00   0.050   26            2839          87.25         
300       22        30.00   0.152   113           2909          87.17         
300       22        50.00   0.240   167           2980          87.50         
300       22        100.00  0.421   578           2928          87.14         
300       22        200.00  0.477   664           2784          86.61         
300       22        300.00  0.450   678           3081          87.65         
300       25        10.00   0.057   26            2870          87.43         
300       25        30.00   0.152   88            2882          87.78         
300       25        50.00   0.246   174           3023          87.28         
300       25        100.00  0.412   437           2854          87.38         
300       25        200.00  0.477   726           2761          87.33         
300       25        300.00  0.452   571           2833          87.97         
300       28        10.00   0.053   27            3039          88.17         
300       28        30.00   0.153   87            2770          87.94         
300       28        50.00   0.242   169           2784          87.48         
300       28        100.00  0.401   423           2977          88.79         
300       28        200.00  0.457   577           2883          87.88         
300       28        300.00  0.483   641           3207          88.15         
300       30        10.00   0.054   31            3299          88.44         
300       30        30.00   0.156   90            3135          88.84         
300       30        50.00   0.249   164           3235          88.27         
300       30        100.00  0.417   522           3198          89.42         
300       30        200.00  0.426   511           2862          89.45         
300       30        300.00  0.459   590           2905          88.75         
300       35        10.00   0.054   28            2992          90.22         
300       35        30.00   0.154   120           3413          91.06         
300       35        50.00   0.247   177           2942          90.00         
300       35        100.00  0.425   480           2953          90.27         
300       35        200.00  0.438   632           3176          89.29         
300       35        300.00  0.446   578           3030          90.15         
300       40        10.00   0.053   28            2993          91.48         
300       40        30.00   0.158   87            3077          91.00         
300       40        50.00   0.251   171           3034          91.52         
300       40        100.00  0.404   442           3374          91.25         
300       40        200.00  0.438   593           3238          91.62         
300       40        300.00  0.440   606           3075          91.26         
300       50        10.00   0.056   32            3458          94.09         
300       50        30.00   0.157   85            3543          94.33         
300       50        50.00   0.236   176           3158          94.31         
300       50        100.00  0.403   421           3454          93.36         
300       50        200.00  0.432   539           3264          93.70         
300       50        300.00  0.420   486           3148          93.88         
300       60        10.00   0.056   29            3761          96.30         
300       60        30.00   0.138   85            3310          95.81         
300       60        50.00   0.232   182           3381          96.19         
300       60        100.00  0.390   375           3527          97.32         
300       60        200.00  0.385   410           3523          96.54         
300       60        300.00  0.410   479           3402          96.19         
500       18        10.00   0.058   29            4708          146.56        
500       18        30.00   0.154   84            4699          144.69        
500       18        50.00   0.252   180           4635          145.47        
500       18        100.00  0.453   527           4643          144.74        
500       18        200.00  0.640   1547          4580          143.09        
500       18        300.00  0.654   1756          4666          145.00        
500       20        10.00   0.058   50            4861          145.33        
500       20        30.00   0.160   88            5277          145.44        
500       20        50.00   0.250   165           4603          145.24        
500       20        100.00  0.444   506           4499          144.90        
500       20        200.00  0.618   1281          4597          144.96        
500       20        300.00  0.608   1296          4780          146.65        
500       22        10.00   0.054   31            5078          145.81        
500       22        30.00   0.160   99            5210          147.15        
500       22        50.00   0.247   167           5734          144.72        
500       22        100.00  0.453   667           5001          145.56        
500       22        200.00  0.620   1452          5941          145.25        
500       22        300.00  0.594   1300          4774          145.87        
500       25        10.00   0.058   27            4717          146.13        
500       25        30.00   0.159   92            4643          145.16        
500       25        50.00   0.249   164           4840          146.16        
500       25        100.00  0.454   537           4633          144.91        
500       25        200.00  0.617   1375          4731          145.82        
500       25        300.00  0.639   1481          4731          144.57        
500       28        10.00   0.052   30            5030          147.53        
500       28        30.00   0.148   92            4580          145.79        
500       28        50.00   0.241   162           5171          146.71        
500       28        100.00  0.435   542           4756          147.13        
500       28        200.00  0.619   1312          4720          147.28        
500       28        300.00  0.626   1413          4672          148.03        
500       30        10.00   0.054   27            4681          146.76        
500       30        30.00   0.158   86            4862          149.08        
500       30        50.00   0.242   168           4712          145.63        
500       30        100.00  0.454   515           4821          146.92        
500       30        200.00  0.609   1357          4801          147.25        
500       30        300.00  0.617   1523          5041          146.29        
500       35        10.00   0.054   26            4753          148.13        
500       35        30.00   0.157   101           4780          148.03        
500       35        50.00   0.246   180           5075          148.55        
500       35        100.00  0.460   552           4843          148.03        
500       35        200.00  0.619   1465          4858          148.55        
500       35        300.00  0.620   1422          4903          148.33        
500       40        10.00   0.059   27            5184          149.82        
500       40        30.00   0.149   98            5174          149.11        
500       40        50.00   0.242   168           5327          150.43        
500       40        100.00  0.441   539           5522          150.67        
500       40        200.00  0.613   1377          5328          148.70        
500       40        300.00  0.571   1075          5036          150.41        
500       50        10.00   0.052   27            5165          152.07        
500       50        30.00   0.159   92            5631          152.13        
500       50        50.00   0.241   162           5306          151.84        
500       50        100.00  0.456   509           5461          151.67        
500       50        200.00  0.589   1428          5429          152.30        
500       50        300.00  0.604   1254          5039          151.96        
500       60        10.00   0.052   30            5185          154.40        
500       60        30.00   0.153   114           5174          154.68        
500       60        50.00   0.240   171           5152          153.61        
500       60        100.00  0.450   516           5160          153.78        
500       60        200.00  0.600   1215          5574          154.42        
500       60        300.00  0.615   1404          5188          154.48        
800       18        10.00   0.053   26            7358          231.16        
800       18        30.00   0.154   113           7445          231.08        
800       18        50.00   0.250   161           7539          232.48        
800       18        100.00  0.444   526           7749          233.33        
800       18        200.00  0.739   2329          7734          234.14        
800       18        300.00  0.772   3584          8367          231.67        
800       20        10.00   0.053   52            7576          232.64        
800       20        30.00   0.151   89            7499          232.91        
800       20        50.00   0.236   163           7454          231.52        
800       20        100.00  0.452   546           7472          234.13        
800       20        200.00  0.740   2359          7697          230.78        
800       20        300.00  0.786   3448          7648          231.52        
800       22        10.00   0.055   26            7686          231.99        
800       22        30.00   0.151   85            7632          231.06        
800       22        50.00   0.250   161           8155          233.16        
800       22        100.00  0.450   515           7371          232.98        
800       22        200.00  0.736   2286          7538          232.04        
800       22        300.00  0.799   3781          7625          231.39        
800       25        10.00   0.050   26            7543          232.60        
800       25        30.00   0.160   85            7688          233.90        
800       25        50.00   0.239   167           7631          231.25        
800       25        100.00  0.441   524           7501          232.33        
800       25        200.00  0.732   2321          7808          232.37        
800       25        300.00  0.783   3260          7793          233.12        
800       28        10.00   0.052   27            7747          234.57        
800       28        30.00   0.158   91            7665          232.52        
800       28        50.00   0.244   164           7558          233.60        
800       28        100.00  0.435   533           7801          234.54        
800       28        200.00  0.735   2390          7664          233.30        
800       28        300.00  0.761   2994          7714          233.96        
800       30        10.00   0.060   41            7767          233.19        
800       30        30.00   0.158   98            7831          234.82        
800       30        50.00   0.237   181           7795          234.68        
800       30        100.00  0.441   520           8424          234.40        
800       30        200.00  0.723   3263          7653          233.80        
800       30        300.00  0.784   3540          7868          234.56        
800       35        10.00   0.051   27            7477          234.50        
800       35        30.00   0.159   104           7924          235.86        
800       35        50.00   0.237   167           8002          235.47        
800       35        100.00  0.441   520           8067          234.30        
800       35        200.00  0.730   2271          7840          236.80        
800       35        300.00  0.768   3120          7678          234.67        
800       40        10.00   0.056   27            7875          237.05        
800       40        30.00   0.153   88            7680          236.11        
800       40        50.00   0.241   173           7833          236.41        
800       40        100.00  0.459   513           7823          234.96        
800       40        200.00  0.723   2172          7898          237.11        
800       40        300.00  0.768   3056          7842          237.18        
800       50        10.00   0.055   29            8201          239.53        
800       50        30.00   0.146   101           7927          238.72        
800       50        50.00   0.254   182           7894          238.99        
800       50        100.00  0.444   537           7949          238.54        
800       50        200.00  0.729   3350          8068          239.66        
800       50        300.00  0.776   3228          8035          240.16        
800       60        10.00   0.057   31            8254          240.72        
800       60        30.00   0.153   93            8329          241.75        
800       60        50.00   0.245   163           8182          239.90        
800       60        100.00  0.447   574           7969          241.53        
800       60        200.00  0.728   3048          8346          241.44        
800       60        300.00  0.795   3763          7971          238.82        

